simple_date,year,steps,mins_asleep,efficiency
2012-05-09,2012,6953,50,61
2012-05-09,2012,6953,299,77
2012-05-10,2012,24850,254,67
2012-05-11,2012,18447,268,65
2012-05-12,2012,22091,258,63
2012-05-13,2012,9651,259,68
2012-05-14,2012,16869,272,59
2012-05-15,2012,19698,90,82
2012-05-15,2012,19698,391,79
2012-05-15,2012,19698,90,82
2012-05-15,2012,19698,391,79
2012-05-16,2012,17199,389,93
2012-05-17,2012,20384,409,94
2012-05-18,2012,15063,420,100
2012-05-19,2012,12329,456,100
2012-05-20,2012,22746,292,100
2012-05-21,2012,17959,420,100
2012-05-22,2012,16157,468,96
2012-05-23,2012,14331,432,97
2012-05-24,2012,18260,411,100
2012-05-25,2012,24745,477,99
2012-05-26,2012,15405,528,99
2012-05-27,2012,19486,463,97
2012-05-28,2012,18501,517,99
2012-05-29,2012,19720,455,98
2012-05-30,2012,24429,424,95
2012-05-31,2012,22669,504,98
2012-06-01,2012,26202,424,100
2012-06-02,2012,17289,468,95
2012-06-03,2012,21577,460,100
2012-06-04,2012,18246,544,99
2012-06-05,2012,17856,479,96
2012-06-06,2012,18141,457,98
2012-06-07,2012,19586,498,97
2012-06-08,2012,22640,496,98
2012-06-09,2012,9249,544,96
2012-06-10,2012,23087,393,100
2012-06-11,2012,18130,494,95
2012-06-12,2012,15716,505,97
2012-06-13,2012,18093,479,99
2012-06-14,2012,21255,506,98
2012-06-14,2012,21255,506,98
2012-06-15,2012,20540,494,96
2012-06-16,2012,14832,455,98
2012-06-17,2012,12776,15,100
2012-06-18,2012,22423,448,98
2012-06-19,2012,27428,491,98
2012-06-21,2012,17306,454,98
2012-06-22,2012,19064,487,95
2012-06-23,2012,14669,481,99
2012-06-24,2012,19245,471,96
2012-06-25,2012,21008,442,98
2012-06-26,2012,20906,414,98
2012-06-28,2012,19368,442,98
2012-06-29,2012,19155,456,99
2012-06-30,2012,15336,442,96
2012-07-01,2012,28778,471,96
2012-07-02,2012,18733,483,100
2012-07-04,2012,32541,407,100
2012-07-05,2012,11226,28,97
2012-07-05,2012,11226,518,95
2012-07-06,2012,23996,495,96
2012-07-08,2012,20622,429,97
2012-07-09,2012,17377,525,99
2012-07-10,2012,15427,468,99
2012-07-13,2012,21058,441,100
2012-07-15,2012,17154,502,99
2012-07-16,2012,22680,490,96
2012-07-17,2012,10244,188,94
2012-07-24,2012,19299,488,96
2012-07-26,2012,20081,507,98
2012-07-28,2012,26930,422,98
2012-07-29,2012,8070,476,99
2012-07-30,2012,17381,376,91
2012-07-31,2012,19047,339,73
2012-08-01,2012,17980,457,83
2012-08-02,2012,19722,417,86
2012-08-03,2012,23974,433,85
2012-08-04,2012,19946,321,78
2012-08-06,2012,27584,329,79
2012-08-07,2012,25468,360,82
2012-08-08,2012,29345,344,78
2012-08-09,2012,26309,291,78
